,ric
749,FR172280170=
750,FR195050767=
751,FR0013422011=
752,FR0013444759=
753,FR0013459815=TE
754,FR210604120=
755,FR102368452=
756,XS2134383103=TE
757,FR195050813=
758,GB183900072=
759,GB164162338=
760,GB106955239=
761,GB118617657=
762,GB196058915=
763,GB224050780=
764,GB185342654=
765,GB206806516=
766,CA217743184=
767,CA198937541=
768,CA203186207=
769,CA210732829=
770,DE223125492=
771,DE197254718=
772,DE189363176=
773,DE121664771=
774,DE180645381=
775,DE180645721=
776,DE215206220=
777,DE215205886=
778,DE215206190=
779,DE197254823=
780,DE197254769=
781,DE189363133=
782,FR0011019397=
783,NL089611938=
784,FR0012283653=
785,FR0013300605=
786,FR0013238045=
787,FR0013030038=
788,FR0013203825=
789,FR0013121753=
790,FR0012674661=
791,FR0013430741=
792,FR0013512233=
793,GB128078398=
794,GB113909137=
795,GB116720469=
796,FR0013312493=
797,FR0013231743=
798,FR0013312501=
799,FR0013323664=
800,FR0013067170=
801,FR056253904=
802,LU045218791=
803,IT092070492=
804,IT175098674=
805,NL017708929=
806,IT060319537=
807,IT064729888=
808,IT084265942=
809,IT117607984=
810,IT142596628=
811,IT155014920=
812,IT206670681=
813,IT206670673=
814,IT193766595=
815,IT206670690=
816,GB168565321=
817,GB168565330=
818,GB191800010=
819,GB205988505=
820,GB215106977=
821,GB206897139=
822,GB210939407=
823,FR056263004=
824,FR056755411=
825,FR061954279=
826,FR153886776=
827,FR171830605=
828,FR0013403441=
829,FR0013311503=
830,FR0013430733=
831,FR081392943=
832,FR171831628=
833,FR0013368602=
834,FR0013410818=
835,FR0013448859=
836,FR0013479276=
837,FR0013518057=
838,CA137598019=
839,CA185768333=
840,CA198580660=
841,AU181963662=
842,AU181963646=
843,AU177462934=
844,XS1347582873=TE
845,AU149675809=
846,AU168548133=
847,AU141241761=
848,AU151719627=
849,AU187203236=
850,AU157547437=
851,AU187203279=
852,AU081340030=
853,AU099324805=
854,AU116735261=
855,AU199879766=
856,AU199879804=
857,CA155722932=
858,CA150142377=
859,CA159288102=
860,CA198714267=
861,CA204970718=
862,DE194861184=
863,DE191024559=
864,DE087762203=
865,DE182324680=
866,DE174744424=
867,DE136356097=
868,DE182324671=
869,DE147504667=
870,DE154843647=
871,DE187314356=
872,DE174744483=
873,DE154843655=
874,DE158988178=
875,DE187314364=
876,DE132195633=
877,DE101521770=
878,DE110527675=
879,DE116896206=
880,DE139626133=
881,DE201044723=
882,DE205572791=
883,DE201044502=
884,DE205572805=
885,DE215989275=
886,DE194861290=
887,DE191024567=
888,DE210235710=
889,DE210235558=
890,DE210235701=
891,ES149072659=
892,ES087986918=
893,ES094071194=
894,ES099010924=
895,ES105705506=
896,ES111640823=
897,ES117154181=
898,ES139847679=
899,ES129100427=
900,JP175875263=
901,JP167576494=
902,JP155802936=
903,JP189070977=
904,FR152467150=
905,FR131564490=
906,FR0011527241=
907,FR0011625409=
908,FR0010967216=
909,FR0012432912=
910,FR0013063609=
911,FR0013216900=
912,FR0013325172=
913,FR0013216926=
914,FR0013216918=
915,FR0013495181=
916,FR0013517026=
917,US123479599=
918,US123476069=
919,US149960228=
920,XS1499602446=TE
921,XS1979490742=TE
